product_id,supplier_id,product_name,category,subcategory,base_price_sek,base_cost_sek,launch_date,active
NORD-TSH-001,NORDVALE,Premium Cotton Tee,T-Shirts,Basic Tee,217.1,118.23,2023-07-11,True
NORD-TSH-002,NORDVALE,Weekend Tee,T-Shirts,Basic Tee,211.25,90.47,2026-01-21,True
NORD-TSH-003,NORDVALE,Everyday Essential Tee,T-Shirts,Relaxed Fit,216.85,89.43,2023-01-14,True
NORD-TSH-004,NORDVALE,Organic Soft Tee,T-Shirts,Relaxed Fit,167.05,87.46,2024-11-20,True
NORD-TSH-005,NORDVALE,Washed Cotton Tee,T-Shirts,Relaxed Fit,118.34,48.04,2026-05-21,True
NORD-TSH-006,NORDVALE,Essential Crew Neck,T-Shirts,Basic Tee,244.95,112.39,2025-02-14,True
NORD-TSH-007,NORDVALE,Slim Fit T-Shirt,T-Shirts,Organic Cotton,264.88,117.83,2025-01-10,True
NORD-TSH-008,NORDVALE,Classic Cotton Tee,T-Shirts,Basic Tee,108.16,55.3,2024-08-15,True
NORD-TSH-009,NORDVALE,Relaxed Fit T-Shirt,T-Shirts,Premium Tee,272.3,132.17,2025-07-17,True
NORD-HOD-010,NORDVALE,Lightweight Zip-Up,Hoodies,Zip Hoodie,480.7,224.43,2026-02-14,True
NORD-HOD-011,NORDVALE,Minimal Logo Hoodie,Hoodies,Oversized Hoodie,820.43,337.49,2024-04-14,True
NORD-HOD-012,NORDVALE,Essential Zip Hoodie,Hoodies,Cropped Hoodie,532.87,261.35,2026-03-07,True
NORD-HOD-013,NORDVALE,Classic Pullover Hoodie,Hoodies,Oversized Hoodie,505.31,227.44,2025-07-28,True
NORD-HOD-014,NORDVALE,Weekend Pullover,Hoodies,Zip Hoodie,522.31,230.55,2024-06-22,True
NORD-HOD-015,NORDVALE,Full-Zip Hoodie,Hoodies,Cropped Hoodie,847.91,393.5,2024-03-25,True
NORD-HOD-016,NORDVALE,French Terry Hoodie,Hoodies,Cropped Hoodie,444.45,228.18,2023-08-13,True
NORD-KNT-017,NORDVALE,Merino Crew Neck Sweater,Knitwear,Crew Neck,807.17,389.72,2026-01-04,True
NORD-KNT-018,NORDVALE,Relaxed Cardigan,Knitwear,Cardigan,465.93,202.58,2025-07-18,True
NORD-KNT-019,NORDVALE,Classic Cardigan,Knitwear,Cardigan,982.13,378.81,2025-11-05,True
NORD-KNT-020,NORDVALE,Cable Knit Jumper,Knitwear,Cardigan,904.0,383.16,2024-02-12,True
NORD-KNT-021,NORDVALE,Oversized Knit Sweater,Knitwear,Crew Neck,758.37,323.6,2023-08-18,True
NORD-KNT-022,NORDVALE,Wool-Blend Jumper,Knitwear,Cardigan,542.67,251.73,2026-03-07,True
NORD-KNT-023,NORDVALE,Ribbed Turtleneck,Knitwear,Crew Neck,838.14,316.48,2025-12-26,True
NORD-KNT-024,NORDVALE,Fine Knit V-Neck,Knitwear,V-Neck,794.85,284.53,2023-12-05,True
NORD-SHT-025,NORDVALE,Oxford Button-Down,Shirts,Casual Shirt,335.77,164.66,2023-02-13,True
NORD-SHT-026,NORDVALE,Slim Fit Shirt,Shirts,Formal Shirt,251.52,99.05,2023-05-01,True
NORD-SHT-027,NORDVALE,Linen Casual Shirt,Shirts,Linen Shirt,273.8,127.13,2025-09-21,True
NORD-SHT-028,NORDVALE,Weekend Shirt,Shirts,Formal Shirt,502.17,184.62,2026-03-26,True
NORD-SOK-029,NORDVALE,Thermal Wool Socks,Socks,Thermal Socks,91.36,39.28,2023-04-21,True
NORD-SOK-030,NORDVALE,Sport Ankle Socks,Socks,Ankle Socks,55.06,21.52,2023-08-12,True
NORD-SOK-031,NORDVALE,Cosy Crew Socks,Socks,No-Show Socks,63.02,29.78,2025-08-05,True
NORD-SOK-032,NORDVALE,Ankle Socks 3-Pack,Socks,Ankle Socks,93.31,34.6,2026-02-01,True
URBN-TSH-001,URBAN_THREADS,Weekend Tee,T-Shirts,Premium Tee,271.93,107.84,2023-12-04,True
URBN-TSH-002,URBAN_THREADS,Essential Crew Neck,T-Shirts,Organic Cotton,284.3,118.42,2024-08-07,True
URBN-TSH-003,URBAN_THREADS,Organic Soft Tee,T-Shirts,Relaxed Fit,129.96,64.92,2023-04-30,True
URBN-TSH-004,URBAN_THREADS,Premium Cotton Tee,T-Shirts,Organic Cotton,110.43,49.77,2025-10-26,True
URBN-TSH-005,URBAN_THREADS,Slim Fit T-Shirt,T-Shirts,Premium Tee,110.38,51.18,2024-01-16,False
URBN-TSH-006,URBAN_THREADS,Relaxed Fit T-Shirt,T-Shirts,Premium Tee,179.76,70.09,2026-03-12,True
URBN-TSH-007,URBAN_THREADS,Everyday Essential Tee,T-Shirts,Basic Tee,222.88,106.7,2026-04-10,True
URBN-TSH-008,URBAN_THREADS,Classic Cotton Tee,T-Shirts,Organic Cotton,285.94,147.34,2024-10-05,True
URBN-HOD-009,URBAN_THREADS,Soft Terry Hoodie,Hoodies,Pullover Hoodie,667.82,299.97,2023-09-29,True
URBN-HOD-010,URBAN_THREADS,Weekend Pullover,Hoodies,Zip Hoodie,583.76,290.66,2026-01-17,True
URBN-HOD-011,URBAN_THREADS,Full-Zip Hoodie,Hoodies,Pullover Hoodie,732.93,324.22,2023-08-01,True
